Location,lng,lat,sum_vehicle
CHURCH ST AT QUEEN ST (PX 19),-79.375773,43.653168,9607
CHURCH ST AT RICHMOND ST (PX 18),-79.37547599,43.652466,3250
CHURCH ST AT SHUTER ST (PX 20),-79.376461,43.654829,3114
CHURCH ST AT THE ESPLANADE (PX 2014),-79.37331201,43.647257,3531
CHURCH ST AT WELLESLEY ST (PX 24),-79.380959,43.665722,8069
CHURCH ST AT WOOD ST (PX 2036),-79.37975501,43.662825,5230
CLARENCE SQ AT WELLINGTON ST,-79.39313986,43.64444344,282
COLLEGE ST AT ELIZABETH ST (PX 1351),-79.387425,43.660514,6488
COLLEGE ST AT HURON ST (PX 1725),-79.398198,43.65826,2899
COLLEGE ST AT MCCAUL ST (PX 825),-79.39348399,43.659199,5976
COLLEGE ST AT SPADINA AVE (PX 279),-79.400048,43.657948,15702
COLLEGE ST AT UNIVERSITY AVE (PX 83),-79.390494,43.659858,21459
D ARCY ST AT HURON ST,-79.39656565,43.6543158,88
D ARCY ST AT SPADINA AVE,-79.39844581,43.65389605,1085
DAN LECKIE WAY AT FG GARDINER UNDERPASS,-79.39799261,43.63704915,567
DAN LECKIE WAY AT FORT YORK BLVD,-79.3980047,43.63940409,1677
DAN LECKIE WAY AT HOUSEY ST,-79.39722675,43.63746415,1306
DAN LECKIE WAY AT QUEENS QUAY (PX 2417),-79.396729,43.636671,1842
DOCKSIDE DR E AT PRIVATE DRIVEWAY 60M SOUTH OF QUEENS QUAY E,-79.3678161,43.64434466,411
DON RDWY AT LAKE SHORE BLVD (PX 208),-79.34696199,43.650893,12076
DUNCAN ST AT MCCAUL ST & QUEEN ST,-79.38947668,43.65023202,2784
DUNCAN ST AT NELSON ST,-79.38892548,43.64881216,688
DUNCAN ST AT RICHMOND ST (PX 267),-79.38918,43.649457,2352
DUNDAS ST AT HURON ST (PX 1273),-79.39616401,43.653346,4204
DUNDAS ST AT MCCAUL ST (PX 265),-79.39146,43.654333,5953
DUNDAS ST AT MUNRO ST (PX 1117),-79.35308499,43.662077,2769
DUNDAS ST AT SIMCOE ST,-79.38922487,43.65468435,2893
DUNDAS ST AT SPADINA AVE (PX 277),-79.398049,43.652944,6717
DUNDAS ST AT YONGE ST (PX 36),-79.380926,43.656328,13724
DUNDAS ST E AT  MUTUAL ST,-79.37566601,43.65682099,2838
DUNDAS ST E AT GEORGE ST,-79.37345858,43.65730387,2583
DUNDAS ST E AT JARVIS ST (PX 8),-79.374566,43.657067,32287
DUNDAS ST E AT ONTARIO ST (PX 1987),-79.368567,43.658871,1801
DUNDAS ST E AT PARLIAMENT ST (PX 248),-79.366016,43.659441,5717
DUNDAS ST E AT REGENT PARK BLVD,-79.36178313,43.66036017,2252
DUNDAS ST E AT RIVER ST (PX 293),-79.35816201,43.661198,15253
DUNDAS ST E AT SACKVILLE ST (PX 2354),-79.363001,43.660087,7182
DUNDAS ST E AT SHERBOURNE ST (PX 258),-79.371032,43.658294,5114
DUNDAS ST E AT SUMACH ST (PX 903),-79.360487,43.660672,5001
DUNDAS ST E AT VICTORIA ST (PX 1905),-79.379576,43.656291,2400
DUNDAS ST W AT KENSINGTON AVE,-79.39987082,43.65255133,1826
DUNDAS ST W AT ST PATRICK ST,-79.39037937,43.65450338,5675
DUNDAS ST W AT UNIVERSITY AVE (PX 81),-79.388314,43.65479,32353
EARL PL AT GLOUCESTER ST & JARVIS ST (PX 2187),-79.379045,43.667934,12566
EARL ST AT SHERBOURNE ST,-79.37539303,43.66874635,1901
EASTERN AVE AT CHERRY ST & SUMACH ST (PX  816),-79.358533,43.653906,7711
EASTERN AVE AT TRINITY ST (PX 2239),-79.360706,43.652488,3054
